ASSERTION	AAEDAAEBAwAAAAAAAECfQA==
RUN	com.ccousseran.gatling.BasicSimulation	basicsimulation	1565008639873	 	3.2.0
REQUEST	33		Page 2	1565008647820	1565008647831	OK	 
REQUEST	39		Page 2	1565008647820	1565008647831	OK	 
REQUEST	20		Page 2	1565008647820	1565008647831	OK	 
REQUEST	16		Page 2	1565008647820	1565008647831	OK	 
REQUEST	23		Page 2	1565008647820	1565008647832	OK	 
REQUEST	96		Page 2	1565008647820	1565008647832	OK	 
REQUEST	5		Page 2	1565008647820	1565008647832	OK	 
REQUEST	82		Page 2	1565008647830	1565008647837	OK	 
REQUEST	87		Page 2	1565008647830	1565008647837	OK	 
REQUEST	61		Page 2	1565008647830	1565008647841	OK	 
REQUEST	31		Page 2	1565008647831	1565008647841	OK	 
REQUEST	92		Page 2	1565008647830	1565008647841	OK	 
REQUEST	51		Page 2	1565008647830	1565008647841	OK	 
REQUEST	73		Page 2	1565008647830	1565008647841	OK	 
REQUEST	22		Page 2	1565008647830	1565008647842	OK	 
REQUEST	4		Page 2	1565008647830	1565008647842	OK	 
REQUEST	21		Page 2	1565008647830	1565008647842	OK	 
REQUEST	70		Page 2	1565008647840	1565008647848	OK	 
REQUEST	94		Page 2	1565008647840	1565008647848	OK	 
REQUEST	13		Page 2	1565008647840	1565008647848	OK	 
REQUEST	71		Page 2	1565008647841	1565008647848	OK	 
REQUEST	28		Page 2	1565008647840	1565008647848	OK	 
